anon_id,user_type,gender,age,education_level
492,paid,male,44,masters degree
493,free,male,30,phd
494,paid,female,72,bachelors degree
495,paid,male,81,masters degree
496,paid,female,52,some college
497,free,male,45,professional degree
498,paid,male,33,bachelors degree
499,paid,female,63,bachelors degree
500,free,female,51,bachelors degree
501,free,male,56,masters degree
502,free,female,30,bachelors degree
503,free,female,46,high school
504,paid,unknown,70,other/unspecified
505,free,male,19,some college
506,paid,female,57,some college
507,free,female,65,some college
508,free,unknown,41,other/unspecified
509,paid,female,68,phd
510,free,male,30,bachelors degree
511,free,female,53,bachelors degree
512,free,male,56,some college
513,free,female,46,masters degree
514,paid,female,74,high school
515,free,female,50,high school
516,free,female,61,some college
517,free,male,30,bachelors degree
518,paid,unknown,28,other/unspecified
519,paid,male,78,bachelors degree
520,paid,male,23,bachelors degree
521,free,female,67,some college
522,paid,female,81,masters degree
523,free,female,45,high school
524,free,male,40,bachelors degree
525,free,male,56,masters degree
526,paid,female,46,bachelors degree
527,free,female,24,high school
528,paid,female,56,some college
529,free,female,24,bachelors degree
530,paid,female,72,phd
531,free,male,51,high school
532,free,female,59,masters degree
533,free,female,59,masters degree
534,free,male,62,bachelors degree
535,paid,female,79,some college
536,free,female,58,bachelors degree
537,paid,unknown,65,other/unspecified
538,paid,male,41,some college
539,free,female,55,other/unspecified
540,paid,female,71,bachelors degree
541,free,male,50,bachelors degree
542,paid,male,61,bachelors degree
543,paid,female,73,some high school
544,free,unknown,76,other/unspecified
545,free,male,52,some college
546,free,unknown,39,other/unspecified
547,paid,female,72,bachelors degree
548,paid,female,32,bachelors degree
549,free,male,50,bachelors degree
550,paid,male,51,masters degree
551,paid,male,78,professional degree
552,paid,female,57,high school
553,paid,female,52,some college
554,free,unknown,56,other/unspecified
555,paid,unknown,53,other/unspecified
556,paid,female,63,bachelors degree
557,paid,male,47,associates degree
558,paid,female,61,masters degree
559,free,male,57,bachelors degree
560,free,male,52,some college
561,free,unknown,28,some college
562,paid,female,84,some college
563,paid,unknown,84,other/unspecified
564,paid,unknown,56,other/unspecified
565,paid,male,27,bachelors degree
566,free,male,40,other/unspecified
567,paid,female,56,associates degree
568,free,female,27,bachelors degree
569,free,male,32,some college
570,free,female,45,bachelors degree
571,free,unknown,66,other/unspecified
572,free,female,70,high school
573,free,male,53,masters degree
574,free,male,36,phd
575,paid,male,57,bachelors degree
576,free,male,63,some college
577,paid,unknown,66,other/unspecified
578,paid,male,48,some college
579,free,female,44,bachelors degree
580,paid,male,83,bachelors degree
581,free,female,21,some college
582,paid,female,80,bachelors degree
583,paid,female,68,masters degree
584,paid,female,69,some high school
585,free,unknown,71,other/unspecified
586,paid,male,63,masters degree
587,free,male,63,phd
588,free,female,54,bachelors degree
589,free,unknown,63,some college
590,free,female,66,bachelors degree
591,paid,female,68,masters degree
592,free,unknown,19,other/unspecified
593,paid,male,81,bachelors degree
594,paid,female,77,bachelors degree
595,free,unknown,61,other/unspecified
596,paid,female,65,bachelors degree
597,paid,female,55,bachelors degree
598,paid,male,48,some college
599,paid,male,25,bachelors degree
600,paid,male,46,bachelors degree
601,free,female,51,associates degree
602,free,male,45,bachelors degree
603,paid,female,38,bachelors degree
604,paid,female,28,other/unspecified
605,free,female,74,masters degree
606,paid,female,52,some college
607,paid,male,21,some college
608,paid,male,26,masters degree
609,free,female,66,masters degree
610,paid,male,69,other/unspecified
611,paid,female,65,high school
612,paid,female,66,masters degree
613,free,male,52,other/unspecified
614,paid,female,70,high school
615,free,female,54,masters degree
616,free,female,60,bachelors degree
617,free,female,56,high school
618,free,male,65,some college
619,paid,female,81,masters degree
620,free,male,51,bachelors degree
621,free,female,60,masters degree
622,paid,male,61,some college
623,free,male,54,some college
624,free,female,29,professional degree
625,free,female,56,associates degree
626,free,female,37,associates degree
627,paid,female,60,masters degree
628,free,female,43,bachelors degree
629,paid,male,81,phd
630,free,female,51,high school
631,paid,female,62,masters degree
632,paid,male,38,phd
633,paid,unknown,40,other/unspecified
634,paid,female,74,high school
635,paid,male,78,masters degree
636,free,unknown,54,other/unspecified
637,free,unknown,59,other/unspecified
638,paid,female,59,bachelors degree
639,paid,male,30,bachelors degree
640,free,female,65,bachelors degree
641,free,female,60,bachelors degree
642,paid,male,55,bachelors degree
643,paid,female,40,masters degree
644,paid,male,50,high school
645,paid,male,73,masters degree
646,paid,male,42,masters degree
647,paid,male,28,associates degree
648,paid,female,61,masters degree
649,free,female,53,some college
650,paid,male,48,high school
651,paid,female,58,some college
652,paid,female,69,some college
653,paid,male,56,masters degree
654,paid,female,50,professional degree
655,paid,female,65,phd
656,paid,male,77,high school
657,free,female,70,bachelors degree
658,free,male,49,some high school
659,paid,female,45,bachelors degree
660,paid,female,64,some college
661,paid,female,72,some college
662,paid,male,59,bachelors degree
663,free,male,27,professional degree
664,free,unknown,26,other/unspecified
665,paid,male,49,bachelors degree
666,paid,female,59,masters degree
667,free,female,32,masters degree
668,paid,male,66,masters degree
669,free,male,55,phd
670,free,unknown,19,other/unspecified
671,paid,male,63,masters degree
672,free,unknown,76,other/unspecified
673,paid,female,51,bachelors degree
674,free,male,53,some college
675,paid,male,50,masters degree
676,paid,male,31,some college
677,paid,male,74,bachelors degree
678,paid,female,56,masters degree
679,paid,female,38,bachelors degree
680,paid,female,44,masters degree
681,paid,female,60,some college
682,paid,male,37,bachelors degree
683,free,female,69,some college
684,free,male,28,bachelors degree
685,free,female,55,masters degree
686,paid,female,57,other/unspecified
687,paid,male,52,some college
688,paid,male,77,high school
689,paid,male,58,some college
690,free,male,66,bachelors degree
691,free,male,53,some college
692,paid,female,61,bachelors degree
693,free,female,65,high school
694,free,male,49,some college
695,free,male,39,some college
696,paid,female,65,masters degree
697,paid,female,76,some college
698,paid,unknown,59,other/unspecified
699,free,male,79,phd
700,paid,male,66,high school
701,free,female,39,some college
702,free,female,32,other/unspecified
703,free,male,67,bachelors degree
704,paid,female,70,masters degree
705,paid,male,47,bachelors degree
706,free,male,75,high school
707,free,unknown,66,other/unspecified
708,paid,female,68,bachelors degree
709,free,female,68,some college
710,paid,female,50,some college
711,paid,female,78,masters degree
712,free,male,50,some college
713,paid,male,31,masters degree
714,free,male,64,some college
715,free,female,48,professional degree
716,free,female,30,masters degree
717,paid,female,76,high school
718,paid,male,48,phd
719,paid,female,61,masters degree
720,paid,female,74,high school
721,paid,female,59,masters degree
722,free,male,48,bachelors degree
723,free,female,42,some college
724,paid,female,65,masters degree
725,free,female,30,professional degree
726,paid,female,23,bachelors degree
727,free,male,27,bachelors degree
728,free,female,55,bachelors degree
729,paid,male,70,some college
730,free,female,57,some high school
731,paid,male,43,some college
732,free,female,55,high school
733,free,female,28,some college
734,paid,unknown,66,other/unspecified
735,paid,male,45,masters degree
736,paid,female,49,bachelors degree
737,free,unknown,67,other/unspecified
738,paid,male,55,bachelors degree
739,paid,male,74,bachelors degree
740,free,female,52,some college
741,free,unknown,70,other/unspecified
742,paid,female,70,high school
743,free,male,61,some college
744,free,male,69,bachelors degree
745,paid,male,62,high school
746,free,female,55,some college
747,free,male,53,bachelors degree
748,free,male,26,masters degree
749,paid,male,50,bachelors degree
750,paid,male,74,some college
751,free,unknown,52,other/unspecified
752,free,male,38,bachelors degree
753,free,female,23,bachelors degree
754,paid,male,51,masters degree
755,paid,female,31,masters degree
756,free,male,26,high school
757,paid,female,65,masters degree
758,paid,female,53,some college
759,free,male,49,bachelors degree
760,paid,female,52,high school
761,paid,unknown,59,bachelors degree
762,free,female,68,some college
763,paid,male,42,professional degree
764,paid,male,60,masters degree
765,free,female,40,some college
766,paid,female,55,masters degree
767,paid,unknown,61,other/unspecified
768,paid,female,58,bachelors degree
769,free,unknown,62,other/unspecified
770,paid,female,34,professional degree
771,paid,male,79,high school
772,free,female,51,phd
773,free,male,34,bachelors degree
774,paid,female,59,bachelors degree
775,free,female,64,high school
776,paid,male,30,other/unspecified
777,free,male,53,associates degree
778,free,male,41,some college
779,paid,female,68,phd
780,paid,male,42,bachelors degree
781,free,male,20,some college
782,paid,male,50,masters degree
783,paid,male,71,masters degree
784,paid,male,30,bachelors degree
785,free,female,77,some college
786,paid,female,64,some college
787,paid,female,78,masters degree
788,free,female,56,bachelors degree
789,free,male,59,bachelors degree
790,free,male,50,professional degree
791,free,female,64,bachelors degree
792,paid,female,63,some college
793,paid,male,60,some college
794,free,male,69,bachelors degree
795,free,female,39,bachelors degree
796,paid,female,53,masters degree
797,paid,male,52,bachelors degree
798,free,male,81,other/unspecified
799,free,male,62,masters degree
800,paid,male,34,bachelors degree
801,paid,unknown,71,other/unspecified
802,paid,male,36,masters degree
803,paid,unknown,70,other/unspecified
804,free,unknown,33,bachelors degree
805,paid,female,73,bachelors degree
806,paid,female,60,some college
807,free,male,51,bachelors degree
808,paid,male,50,associates degree
809,paid,unknown,67,high school
810,paid,male,70,bachelors degree
811,paid,male,66,masters degree
812,paid,female,73,professional degree
813,paid,unknown,88,professional degree
814,free,male,74,high school
815,free,female,65,high school
816,paid,male,63,masters degree
817,paid,male,26,bachelors degree
818,paid,female,50,bachelors degree
819,paid,male,71,some college
820,paid,male,61,bachelors degree
821,free,female,85,high school
822,free,female,55,some college
823,free,male,35,masters degree
824,free,female,43,bachelors degree
825,free,female,66,some college
826,free,male,56,bachelors degree
827,paid,male,54,bachelors degree
828,paid,male,72,bachelors degree
829,free,male,48,bachelors degree
830,free,male,28,professional degree
831,free,female,30,masters degree
832,free,male,62,bachelors degree
833,paid,male,22,bachelors degree
834,free,male,75,bachelors degree
835,paid,female,53,some college
836,paid,male,78,high school
837,paid,female,61,bachelors degree
838,paid,female,83,some college
839,paid,female,81,high school
840,free,male,62,bachelors degree
841,paid,female,52,masters degree
842,paid,male,70,professional degree
843,paid,female,79,bachelors degree
844,paid,female,44,associates degree
845,paid,female,50,high school
846,paid,female,76,bachelors degree
847,free,female,70,high school
848,paid,male,56,bachelors degree
849,free,female,67,some college
850,free,male,44,bachelors degree
851,paid,male,82,bachelors degree
852,free,male,51,masters degree
853,paid,female,55,masters degree
854,free,male,24,high school
855,free,female,53,bachelors degree
856,paid,female,33,professional degree
857,paid,female,62,some college
858,free,female,49,some college
859,free,female,30,bachelors degree
860,free,unknown,62,other/unspecified
861,free,male,60,bachelors degree
862,paid,female,74,masters degree
863,paid,female,69,some college
864,paid,female,85,phd
865,paid,female,44,masters degree
866,paid,female,71,masters degree
867,free,female,28,masters degree
868,paid,female,61,masters degree
869,free,female,36,other/unspecified
870,paid,male,51,high school
871,paid,female,70,some high school
872,free,male,25,bachelors degree
873,paid,male,19,bachelors degree
874,paid,female,62,high school
875,paid,male,59,high school
876,paid,female,38,phd
877,free,female,56,masters degree
878,paid,female,61,bachelors degree
879,paid,male,42,professional degree
880,paid,female,58,associates degree
881,paid,female,71,masters degree
882,free,male,60,bachelors degree
883,paid,male,26,bachelors degree
884,paid,female,52,some college
885,paid,female,27,bachelors degree
886,free,female,57,other/unspecified
887,paid,male,51,professional degree
888,free,female,67,high school
889,free,unknown,68,other/unspecified
890,paid,male,30,masters degree
891,paid,female,50,bachelors degree
892,paid,male,75,some college
893,paid,female,52,bachelors degree
894,free,female,57,masters degree
895,paid,unknown,64,masters degree
896,free,unknown,62,other/unspecified
897,paid,male,73,bachelors degree
898,free,female,69,high school
899,paid,female,70,some college
900,paid,female,41,bachelors degree
901,paid,male,74,masters degree
902,paid,female,62,bachelors degree
903,paid,female,61,bachelors degree
904,free,female,65,some college
905,free,male,59,some college
906,free,female,18,high school
907,paid,male,63,professional degree
908,paid,male,37,phd
909,paid,male,73,masters degree
910,paid,unknown,51,bachelors degree
911,free,unknown,59,other/unspecified
912,paid,female,65,some college
913,paid,female,54,associates degree
914,free,male,57,high school
915,free,male,21,some college
916,free,female,46,some college
917,free,female,47,some college
918,free,unknown,79,other/unspecified
919,paid,male,57,some college
920,paid,male,55,masters degree
921,free,male,27,professional degree
922,free,female,62,masters degree
923,paid,female,49,some college
924,free,female,55,professional degree
925,paid,male,73,masters degree
926,paid,male,62,associates degree
927,paid,female,73,high school
928,paid,male,45,bachelors degree
929,free,female,74,high school
930,free,female,49,bachelors degree
931,paid,male,69,masters degree
932,paid,male,69,masters degree
933,paid,female,69,masters degree
934,paid,female,72,some college
935,paid,female,74,masters degree
936,paid,male,57,masters degree
937,free,female,59,associates degree
938,paid,male,34,phd
939,paid,female,31,bachelors degree
940,paid,male,60,some college
941,paid,female,64,some high school
942,paid,female,67,high school
943,free,unknown,69,associates degree
944,free,male,54,some college
945,paid,female,73,some college
946,free,male,66,masters degree
947,free,male,43,associates degree
948,paid,female,64,some college
949,free,female,44,other/unspecified
950,paid,female,62,high school
951,paid,female,63,masters degree
952,free,male,77,professional degree
953,paid,female,31,high school
954,paid,female,63,bachelors degree
955,paid,male,77,professional degree
956,free,unknown,66,other/unspecified
957,free,male,48,masters degree
958,paid,female,55,high school
959,paid,female,45,professional degree
960,free,female,53,some college
961,free,unknown,51,other/unspecified
962,paid,male,24,bachelors degree
963,paid,male,70,phd
964,free,male,28,bachelors degree
965,paid,female,65,high school
966,free,female,56,some college
967,free,male,54,professional degree
968,free,female,74,masters degree
969,paid,male,40,bachelors degree
970,free,female,81,bachelors degree
971,free,female,61,some college
972,paid,male,71,high school
973,free,male,40,bachelors degree
974,paid,male,33,masters degree
975,free,male,48,bachelors degree
976,free,male,61,masters degree
977,free,male,46,some college
978,free,female,62,other/unspecified
979,free,male,61,bachelors degree
980,free,male,32,bachelors degree
981,paid,female,69,masters degree
982,free,female,44,professional degree
983,paid,female,19,some college
984,paid,male,66,associates degree
985,paid,male,58,bachelors degree
986,free,male,32,professional degree
987,free,male,56,some college
988,paid,female,70,masters degree
989,paid,female,51,phd
990,paid,male,50,some college
991,paid,female,57,some college
992,free,male,69,some college
993,paid,female,36,masters degree
994,free,male,51,masters degree
995,paid,female,41,high school
996,paid,female,32,bachelors degree
997,paid,female,55,high school
998,paid,female,66,some college
999,paid,male,78,other/unspecified
1000,paid,male,32,some college
1001,paid,male,28,masters degree
1002,paid,unknown,66,other/unspecified
1003,paid,female,59,masters degree
1004,paid,male,25,some college
1005,paid,female,46,bachelors degree
1006,paid,female,71,masters degree
1007,paid,female,84,high school
1008,paid,female,77,bachelors degree
1009,free,unknown,66,other/unspecified
1010,free,male,21,some college
1011,free,male,25,masters degree
1012,free,female,36,bachelors degree
